message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:00.641532118Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264450049Z
Starting WhatsApp Warmer Service,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264456294Z
Time: 2026-03-31 14:28:00 UTC,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264461904Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264466879Z
DATABASE_URL: file:/app/data/whatsapp.db,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264471798Z
Running Prisma migrations...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.264477296Z
Prisma schema loaded from prisma/schema.prisma,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.636148422Z
"Datasource ""db"": SQLite database ""whatsapp.db"" at ""file:/app/data/whatsapp.db""",info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.636152900Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""a6bb29e3-21c5-4741-93b5-97951f39cd87"",""replica"":""fa9e1c85-c7f3-4955-8cd4-ac0829371d55""}",2026-03-31T14:28:01.682416176Z
