message,timestamp,severity,tags,attributes
,2026-03-17T04:28:29.365346158Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: us-west1][0m,2026-03-17T04:28:29.724560862Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-03-17T04:28:29.730663277Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-03-17T04:28:29.730708829Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-03-17T04:28:29.730714829Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-03-17T04:28:29.730719714Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: rk9f-Kdes,2026-03-17T04:28:29.730734152Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-03-17T04:28:31.595578750Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:5f1f55a07f184253d4c78be466fc84ed586fa0dec12bde55f18d2330094f361c"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-17T04:28:31.595633714Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T04:28:31.591594466Z"",""digest"":""sha256:5f1f55a07f184253d4c78be466fc84ed586fa0dec12bde55f18d2330094f361c"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T04:28:31.591551675Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-17T04:28:31.595649422Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:5f1f55a07f184253d4c78be466fc84ed586fa0dec12bde55f18d2330094f361c"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T04:28:31.591748923Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-03-17T04:28:31.667466455Z,info,"{""serviceId"":""7b76cee7-cc06-4c42-9fcb-8d9e8bf6eaed"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-17T04:28:31.663583979Z"",""digest"":""sha256:5f1f55a07f184253d4c78be466fc84ed586fa0dec12bde55f18d2330094f361c"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-17T04:28:31.591748923Z"",""type"":""vertex""}"
