message,severity,attributes,tags,timestamp
DATABASE_URL: postgresql://postgres:XfccumoOsYWLMeAxQLzsKLyzTbTxznTW@postgres.railway.internal:5432/railway,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271620587Z
Running Prisma db push...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271630974Z
Using PostgreSQL database,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271637420Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271663995Z
Starting WhatsApp Warmer Service,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271672908Z
Time: 2026-04-03 02:50:30 UTC,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271678895Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.271684565Z
Starting Container,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:31.398847792Z
Prisma schema loaded from prisma/schema.prisma,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.294018113Z
"Datasource ""db"": PostgreSQL database ""railway"", schema ""public"" at ""postgres.railway.internal:5432""",info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.294024137Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.369628425Z
The database is already in sync with the Prisma schema.,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.369634835Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.376139043Z
Setting up Prisma symlinks...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.396377342Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403855978Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403864071Z
STEP 1: Starting WhatsApp Service,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403869082Z
==========================================,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403873836Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403878440Z
Installing tsx...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:32.403883769Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.454080330Z
added 5 packages in 2s,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.454086737Z
,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.454091314Z
2 packages are looking for funding,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.454095971Z
  run `npm fund` for details,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.454100188Z
Starting WhatsApp service on port 3030...,info,"{""level"":""info""}","{""project"":""ce3616d9-58ad-4ec7-a294-1821e1564434"",""environment"":""fb6513d0-42a4-4660-82b5-509c54b15f2a"",""service"":""4978aa94-666c-47c7-8024-3ada55195a51"",""deployment"":""e6572e99-435a-4318-8085-a26955b8bae6"",""replica"":""bc280845-512d-4bab-ba8a-2b99bc9ab336""}",2026-04-03T02:50:34.467998399Z
